scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
GNRC,2,53,55,0.03636363636363636,0.9636363636363636,26.5,GNRC,True
PWR,1,52,53,0.018867924528301886,0.9811320754716981,52.0,PWR,True
BLDR,1,52,53,0.018867924528301886,0.9811320754716981,52.0,BLDR,True
UBER,3,49,52,0.057692307692307696,0.9423076923076923,16.333333333333332,UBER,True
AKAM,1,50,51,0.0196078431372549,0.9803921568627451,50.0,AKAM,True
URI,2,49,51,0.0392156862745098,0.9607843137254902,24.5,URI,True
MSCI,4,44,48,0.08333333333333333,0.9166666666666666,11.0,MSCI,True
INVH,1,46,47,0.02127659574468085,0.9787234042553191,46.0,INVH,True
BG,2,44,46,0.043478260869565216,0.9565217391304348,22.0,BG,True
D,3,43,46,0.06521739130434782,0.9347826086956522,14.333333333333334,D,True
LHX,1,45,46,0.021739130434782608,0.9782608695652174,45.0,LHX,True
LW,1,43,44,0.022727272727272728,0.9772727272727273,43.0,LW,True
RF,1,39,40,0.025,0.975,39.0,RF,True
TDY,1,37,38,0.02631578947368421,0.9736842105263158,37.0,TDY,True
GEV,1,34,35,0.02857142857142857,0.9714285714285714,34.0,GEV,True
WMB,2,33,35,0.05714285714285714,0.9428571428571428,16.5,WMB,True
PNC,1,33,34,0.029411764705882353,0.9705882352941176,33.0,PNC,True
DGX,0,34,34,0.0,1.0,inf,DGX,True
SBAC,1,33,34,0.029411764705882353,0.9705882352941176,33.0,SBAC,True
VLTO,1,30,31,0.03225806451612903,0.967741935483871,30.0,VLTO,True
RSG,2,28,30,0.06666666666666667,0.9333333333333333,14.0,RSG,True
IT,1,29,30,0.03333333333333333,0.9666666666666667,29.0,IT,True
VZ,1,28,29,0.034482758620689655,0.9655172413793104,28.0,VZ,True
CARR,1,28,29,0.034482758620689655,0.9655172413793104,28.0,CARR,True
MHK,1,28,29,0.034482758620689655,0.9655172413793104,28.0,MHK,True
MAS,1,28,29,0.034482758620689655,0.9655172413793104,28.0,MAS,True
GWW,1,28,29,0.034482758620689655,0.9655172413793104,28.0,GWW,True
KMI,2,26,28,0.07142857142857142,0.9285714285714286,13.0,KMI,True
PM,1,26,27,0.037037037037037035,0.9629629629629629,26.0,PM,True
BDX,1,25,26,0.038461538461538464,0.9615384615384616,25.0,BDX,True
GRMN,1,25,26,0.038461538461538464,0.9615384615384616,25.0,GRMN,True
NWSA,1,24,25,0.04,0.96,24.0,NWSA,True
CAH,1,24,25,0.04,0.96,24.0,CAH,True
PLD,2,22,24,0.08333333333333333,0.9166666666666666,11.0,PLD,True
FSLR,1,19,20,0.05,0.95,19.0,FSLR,True
TRGP,1,19,20,0.05,0.95,19.0,TRGP,True
ORLY,1,18,19,0.05263157894736842,0.9473684210526315,18.0,ORLY,True
NRG,2,17,19,0.10526315789473684,0.8947368421052632,8.5,NRG,True
AWK,1,18,19,0.05263157894736842,0.9473684210526315,18.0,AWK,True
EVRG,1,17,18,0.05555555555555555,0.9444444444444444,17.0,EVRG,True
CBOE,1,15,16,0.0625,0.9375,15.0,CBOE,True
EMN,1,15,16,0.0625,0.9375,15.0,EMN,True
WAT,1,15,16,0.0625,0.9375,15.0,WAT,True
KDP,1,14,15,0.06666666666666667,0.9333333333333333,14.0,KDP,True
ALLE,1,14,15,0.06666666666666667,0.9333333333333333,14.0,ALLE,True
EL,1,14,15,0.06666666666666667,0.9333333333333333,14.0,EL,True
CFG,1,9,10,0.1,0.9,9.0,CFG,True
NTRS,1,9,10,0.1,0.9,9.0,NTRS,True
ALB,1,8,9,0.1111111111111111,0.8888888888888888,8.0,ALB,True
ACGL,1,7,8,0.125,0.875,7.0,ACGL,True
SYF,1,6,7,0.14285714285714285,0.8571428571428571,6.0,SYF,True
MCHP,1,6,7,0.14285714285714285,0.8571428571428571,6.0,MCHP,True
NXPI,0,5,5,0.0,1.0,inf,NXPI,True
CMI,1,3,4,0.25,0.75,3.0,CMI,True
TYL,1,2,3,0.3333333333333333,0.6666666666666666,2.0,TYL,True
CSCO,1,1,2,0.5,0.5,1.0,CSCO,False
